ingredient,density
red bell pepper,0.5
red onion,0.512
red chili powder,0.54
red chili sauce,1.148
red pepper flakes,0.488
red pepper flakes (crushed),0.404
red raspberries,0.592
red wine,0.996
red wine - dry,0.996
red wine vinegar,1
redcurrants,0.472
refried beans,0.976
rice,0.824
rice vinegar,0.989
rice vinegar - seasoned,0.989
ricotta cheese,1.016
roasted corn,0.576
roasted peanuts,0.481
rolled oats,0.352
romaine lettuce,0.2
rosemary,0.224
saffron,0.144
saffron threads,0.144
sage,0.488
sake,0.957
salad greens,0.3
salmon flakes (cooked and flaked),0.227
salsa,1.1
salsa (roja or verde),1.1
salt,1.2
sea salt,1.216
seeds,0.608
self-rising flour,0.508
semi-sweet chocolate chips,0.712
semolina flour,0.575
sesame oil,0.919
sesame seeds,1.224
shallots,0.676
shaoxing wine (or dry sherry),0.998
sharp cheddar cheese - shredded,0.472
shichimi togarashi (japanese seven-spice powder),0.404
shiitake mushrooms,0.72
short-grain rice,0.844
shortening,0.868
shredded cabbage,0.296
shredded chicken,0.956
shredded cooked beef,0.625
shredded cooked chicken,0.956
shredded cheddar cheese,0.472
shredded cheese,0.472
shredded cheese (cheddar or mozzarella),0.472
shredded cheese (cheddar or Monterey Jack),0.472
shredded coconut,0.352
shredded cooked chicken breast,0.956
shredded cooked vegetables,0.64
shredded green or white cabbage,0.296
shredded mozzarella cheese,0.472
shredded napa cabbage,0.288
shreddies,0.229166667
shrimp,0.72
sichuan peppercorns,0.4
sliced red onion,0.512
sliced almonds,0.512
slivered almonds,0.481
small pasta,0.516
smoked paprika,0.46
snap peas,0.72
snow peas,0.272
sour cream,0.972
sour cherries,0.436
soy sauce,1.076
soy milk,1.04
soy sauce - light,1.076
soy sauce - low-sodium,1.076
soybeans,0.753
sparkling water,1
special k cereal,0.132
spinach,0.118
spinach leaves,0.118
sprite,1
sriracha,1.32
sriracha sauce,1.32
strawberries,1.146
sugar,1.58
sun-dried tomatoes,0.964
sushi rice,1.452
sushi rice - cooked,2.1054
sushi rice vinegar,0.989
sweet cherries,1.024
swiss cheese,1.1
tabasco sauce,0.952
taco seasoning,0.608
tahini,1
takoyaki sauce,1.2
tamarind paste,1.016
tenkasu (tempura flakes),0.44
thyme,0.184
thyme leaves,0.184
toasted almonds,0.481
toasted coconut flakes,0.508
toasted pecans,0.481
toasted pine nuts,0.572
toasted sesame oil,0.919
toasted sesame seeds,1.224
tomato,205
tomato sauce (crushed or diced),1.032
tomato paste,1.264
tomato sauce,1.032
tonkatsu sauce,0.844
tuna (canned in water),0.652
turmeric,0.636
turmeric powder,0.636
unsalted butter,0.911
unsweetened cocoa powder,0.948
vanilla extract,0.948
vanilla greek yogurt,0.96
vanilla protein powder,0.5
vegan butter,0.911
vegan cheese,1.076
vegan mozzarella,0.472
vegan parmesan,0.628
vegan cheese - shredded,0.472
vegetable broth,1
vegetable oil,0.92
vegetable shortening,0.76
vegetable broth - low-sodium,1
vinegar,0.96
vodka,0.97
wakame seaweed,0.34
walnuts,0.481
warm water,1
warm milk,1.03
water,1
water chestnuts,1.1
watermelon,1.03
white onion,0.512
white vinegar,0.512
white wine,0.992
white grapes,0.64
white miso paste,1.016
white pepper,0.488
white rice,0.788
white sugar,1.58
white wine (dry),0.992
whole milk,1.03
whole black peppercorns,0.568
wild rice,0.676
worcestershire sauce,1.164
yellow mustard,1.016
yellow onion,0.512
yellow raisins,0.512
anchovy kelp stock (kombu dashi),1
assorted shellfish,0.96
baby bok choy,0.36
black pepper - ground,0.568
cantaloupe,0.676
cashews - roasted and salted,0.58
char siu (barbecued pork),1.052
chicken stock,1
chungjang (korean black bean paste),1.164
